Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
177	544.793	35.76132	 	 	 	 	 	 	 
178	545.8238	34.9482	 	 	 	 	 	 	 
179	546.4505	35.186047	 	 	 	 	 	 	 
180	546.6324	35.5994	 	 	 	 	 	 	 
181	546.3635	36.483128	 	 	 	 	 	 	 
182	545.7068	36.680122	 	 	 	 	 	 	 
183	545.5569	36.652416	 	 	 	 	 	 	 
184	546.774	36.267643	 	 	 	 	 	 	 
185	547.56335	36.099724	 	 	 	 	 	 	 
186	548.9988	35.41841	 	 	 	 	 	 	 
187	552.4544	35.05708	 	 	 	 	 	 	 
188	558.5172	34.94507	 	 	 	 	 	 	 
189	562.5553	36.39028	 	 	 	 	 	 	 
190	563.53784	35.70301	 	 	 	 	 	 	 
191	564.5427	34.84501	 	 	 	 	 	 	 
192	565.30804	33.386257	 	 	 	 	 	 	 
193	565.57983	32.43076	 	 	 	 	 	 	 
194	565.9115	31.102869	 	 	 	 	 	 	 
195	566.78064	30.100115	 	 	 	 	 	 	 
196	569.0207	25.871117	 	 	 	 	 	 	 
197	569.5437	27.584604	 	 	 	 	 	 	 
198	570.1583	27.47636	 	 	 	 	 	 	 
199	572.2936	23.629707	 	 	 	 	 	 	 
200	573.10443	21.371817	 	 	 	 	 	 	 
201	573.9635	20.70868	 	 	 	 	 	 	 
202	573.35205	21.531195	 	 	 	 	 	 	 
203	573.374	21.638142	 	 	 	 	 	 	 
204	572.9781	24.554527	 	 	 	 	 	 	 
205	573.1922	22.843594	 	 	 	 	 	 	 
206	572.9987	22.882872	 	 	 	 	 	 	 
207	572.81134	25.83773	 	 	 	 	 	 	 
208	572.91614	25.187304	 	 	 	 	 	 	 
209	572.88525	25.419943	 	 	 	 	 	 	 
210	572.0058	26.807592	 	 	 	 	 	 	 
211	571.17334	28.393042	 	 	 	 	 	 	 
212	571.0309	26.476364	 	 	 	 	 	 	 
213	569.92615	26.699265	 	 	 	 	 	 	 
214	569.0184	23.843874	 	 	 	 	 	 	 
215	568.85547	23.501135	 	 	 	 	 	 	 
216	568.46783	23.562677	 	 	 	 	 	 	 
217	568.4019	23.21882	 	 	 	 	 	 	 
218	568.42755	23.518826	 	 	 	 	 	 	 
219	568.19147	23.018019	 	 	 	 	 	 	 
220	567.6094	23.707806	 	 	 	 	 	 	 
221	567.49725	23.796255	 	 	 	 	 	 	 
222	564.7301	28.391153	 	 	 	 	 	 	 
223	565.2038	28.571033	 	 	 	 	 	 	 
224	566.61646	26.533062	 	 	 	 	 	 	 
225	566.04144	30.634056	 	 	 	 	 	 	 
226	565.82874	35.433117	 	 	 	 	 	 	 
227	566.35657	40.630566	 	 	 	 	 	 	 
228	564.376	43.91374	 	 	 	 	 	 	 
229	562.2302	47.214504	 	 	 	 	 	 	 
230	561.38617	48.87311	 	 	 	 	 	 	 
231	559.4618	50.16258	 	 	 	 	 	 	 
232	557.41095	50.01833	 	 	 	 	 	 	 
233	554.80023	50.862785	 	 	 	 	 	 	 
234	554.1674	50.86622	 	 	 	 	 	 	 
235	555.15326	49.26884	 	 	 	 	 	 	 
236	555.21606	49.21084	 	 	 	 	 	 	 
237	556.14777	47.758755	 	 	 	 	 	 	 
238	556.4025	47.787277	 	 	 	 	 	 	 
239	556.68665	49.39072	 	 	 	 	 	 	 
240	557.0049	50.80098	 	 	 	 	 	 	 
241	553.29083	54.19835	 	 	 	 	 	 	 
242	550.2256	54.846706	 	 	 	 	 	 	 
243	547.3816	55.107155	 	 	 	 	 	 	 
244	544.082	53.809193	 	 	 	 	 	 	 
245	540.2355	53.565002	 	 	 	 	 	 	 
246	536.2369	51.654373	 	 	 	 	 	 	 
247	531.224	50.353867	 	 	 	 	 	 	 
248	525.34576	49.57073	 	 	 	 	 	 	 
249	519.0408	49.86124	 	 	 	 	 	 	 
250	510.10248	47.9612	 	 	 	 	 	 	 
251	496.61462	44.99672	 	 	 	 	 	 	 
252	484.5238	46.21342	 	 	 	 	 	 	 
253	469.105	45.285847	 	 	 	 	 	 	 
254	452.35416	44.607365	 	 	 	 	 	 	 
255	435.3019	44.328236	 	 	 	 	 	 	 
256	418.19122	43.964615	 	 	 	 	 	 	 
257	400.01697	44.607376	 	 	 	 	 	 	 
258	382.63528	44.19491	 	 	 	 	 	 	 
259	363.58218	43.36003	 	 	 	 	 	 	 
260	343.50647	42.843143	 	 	 	 	 	 	 
261	322.44238	42.910255	 	 	 	 	 	 	 
262	301.65887	42.90769	 	 	 	 	 	 	 
263	283.03088	41.815887	 	 	 	 	 	 	 
264	265.34558	41.340622	 	 	 	 	 	 	 
265	250.12782	42.373466	 	 	 	 	 	 	 
266	236.83322	42.841747	 	 	 	 	 	 	 
267	227.23119	40.151863	 	 	 	 	 	 	 
268	217.34506	38.88593	 	 	 	 	 	 	 
269	206.1059	41.549477	 	 	 	 	 	 	 
270	196.27303	42.192284	 	 	 	 	 	 	 
271	185.73514	40.093132	 	 	 	 	 	 	 
272	173.45901	36.947624	 	 	 	 	 	 	 
273	164.25027	36.987297	 	 	 	 	 	 	 
274	153.89703	40.431705	 	 	 	 	 	 	 
275	144.25143	41.469784	 	 	 	 	 	 	 
276	134.82294	38.56237	 	 	 	 	 	 	 
277	125.164154	37.29378	 	 	 	 	 	 	 
278	112.34605	37.78616	 	 	 	 	 	 	 
279	100.90783	38.990215	 	 	 	 	 	 	 
280	90.792465	39.8531	 	 	 	 	 	 	 
281	76.86205	40.354816	 	 	 	 	 	 	 
282	65.25928	40.040977	 	 	 	 	 	 	 
283	54.855003	39.36882	 	 	 	 	 	 	 
284	48.619057	40.71489	 	 	 	 	 	 	 
285	45.79519	40.916824	 	 	 	 	 	 	 
286	44.35225	40.587215	 	 	 	 	 	 	 
287	44.264366	39.809933	 	 	 	 	 	 	 
288	44.66735	39.567024	 	 	 	 	 	 	 
289	44.932144	39.408398	 	 	 	 	 	 	 
290	44.342358	39.818752	 	 	 	 	 	 	 
291	44.133717	40.1624	 	 	 	 	 	 	 
292	43.84624	40.82488	 	 	 	 	 	 	 
293	60.98206	39.4688	 	 	 	 	 	 	 
294	42.274933	43.002247	*	 	 	 	 	 	 
295	41.704235	43.66189	 	 	 	 	 	 	 
296	36.15946	45.304913	 	 	 	 	 	 	 
297	19.89017	51.990784	 	 	 	 	 	 	 
298	8.585603	55.94747	 	 	 	 	 	 	 
299	8.799363	60.78153	 	 	 	 	 	 	 
300	10.125411	66.74644	 	 	 	 	 	 	 
301	14.139402	70.72515	 	 	 	 	 	 	 
302	18.868654	79.5203	 	 	 	 	 	 	 
303	24.589083	81.92314	 	 	 	 	 	 	 
304	26.609581	85.48571	 	 	 	 	 	 	 
305	27.151125	88.60806	 	 	 	 	 	 	 
306	28.057377	90.36304	 	 	 	 	 	 	 
307	28.826923	90.88765	 	 	 	 	 	 	 
308	29.152035	89.141975	 	 	 	 	 	 	 
309	29.764093	87.40937	 	 	 	 	 	 	 
310	30.568615	86.11288	 	 	 	 	 	 	 
311	32.107056	85.92494	 	 	 	 	 	 	 
312	33.210926	85.002266	 	 	 	 	 	 	 
313	34.351654	84.807724	 	 	 	 	 	 	 
314	35.266506	84.772545	 	 	 	 	 	 	 
315	36.40057	84.95762	 	 	 	 	 	 	 
316	37.213936	85.0615	 	 	 	 	 	 	 
317	37.869083	85.76577	 	 	 	 	 	 	 
318	39.101036	87.180984	 	 	 	 	 	 	 
319	39.722836	88.96385	 	 	 	 	 	 	 
