Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
243	455.1504	34.55006	 	 	 	 	 	 	 	 	 	 
244	453.89816	34.171654	 	 	 	 	 	 	 	 	 	 
245	453.0933	35.801594	 	 	 	 	 	 	 	 	 	 
246	453.44467	38.30164	 	 	 	 	 	 	 	 	 	 
247	454.0133	38.960857	 	 	 	 	 	 	 	 	 	 
248	453.57025	38.92728	 	 	 	 	 	 	 	 	 	 
249	452.213	38.312473	 	 	 	 	 	 	 	 	 	 
250	451.18567	37.697468	 	 	 	 	 	 	 	 	 	 
251	451.67203	38.172657	 	 	 	 	 	 	 	 	 	 
252	453.05576	38.636692	 	 	 	 	 	 	 	 	 	 
253	454.95334	40.37464	 	 	 	 	 	 	 	 	 	 
254	454.1588	39.50337	 	 	 	 	 	 	 	 	 	 
255	453.95807	39.465115	 	 	 	 	 	 	 	 	 	 
256	454.08157	39.505398	 	 	 	 	 	 	 	 	 	 
257	453.8596	38.82383	 	 	 	 	 	 	 	 	 	 
258	454.34256	37.94273	 	 	 	 	 	 	 	 	 	 
259	453.26035	37.096916	 	 	 	 	 	 	 	 	 	 
260	452.88773	37.311577	 	 	 	 	 	 	 	 	 	 
261	453.25397	36.90861	 	 	 	 	 	 	 	 	 	 
262	453.93246	36.593178	 	 	 	 	 	 	 	 	 	 
263	453.9565	35.975834	 	 	 	 	 	 	 	 	 	 
264	453.66772	36.14043	 	 	 	 	 	 	 	 	 	 
265	453.6482	36.130894	 	 	 	 	 	 	 	 	 	 
266	453.69208	36.085693	 	 	 	 	 	 	 	 	 	 
267	453.95914	34.68568	 	 	 	 	 	 	 	 	 	 
268	454.69397	33.404408	 	 	 	 	 	 	 	 	 	 
269	455.24448	33.14725	 	 	 	 	 	 	 	 	 	 
270	455.97607	29.85615	 	 	 	 	 	 	 	 	 	 
271	457.02216	21.989756	 	 	 	 	 	 	 	 	 	 
272	 	 	 	 	 	 	 	 	 	 	 	 
273	 	 	 	432.8957	10.890287	 	 	 	 	 	 	 
274	 	 	 	426.3444	13.86747	 	 	 	 	 	 	 
275	 	 	 	430.835	20.174404	 	 	 	 	 	 	 
276	 	 	 	426.80414	27.415876	 	 	 	 	 	 	 
277	 	 	 	423.2616	32.39649	 	 	 	 	 	 	 
278	 	 	 	419.73862	35.266575	 	 	 	 	 	 	 
279	 	 	 	417.1284	37.927765	 	 	 	 	 	 	 
280	 	 	 	415.45758	39.64109	 	 	 	 	 	 	 
281	 	 	 	412.87973	40.146137	 	 	 	 	 	 	 
282	 	 	 	410.1818	41.392265	 	 	 	 	 	 	 
283	 	 	 	407.80582	41.89568	 	 	 	 	 	 	 
284	 	 	 	406.45032	42.96254	 	 	 	 	 	 	 
285	 	 	 	405.95	45.60322	 	 	 	 	 	 	 
286	 	 	 	405.42358	46.747066	 	 	 	 	 	 	 
287	 	 	 	402.8047	48.610794	 	 	 	 	 	 	 
288	 	 	 	400.90063	50.55412	 	 	 	 	 	 	 
289	 	 	 	399.06857	52.63755	 	 	 	 	 	 	 
290	 	 	 	397.13538	55.086105	 	 	 	 	 	 	 
291	 	 	 	395.7757	56.65871	 	 	 	 	 	 	 
292	 	 	 	395.63498	57.703144	 	 	 	 	 	 	 
293	 	 	 	397.17062	59.125343	 	 	 	 	 	 	 
294	 	 	 	398.75452	60.25987	 	 	 	 	 	 	 
295	 	 	 	399.69376	61.422596	 	 	 	 	 	 	 
296	 	 	 	400.05212	62.422543	 	 	 	 	 	 	 
297	 	 	 	399.9386	62.33143	 	 	 	 	 	 	 
298	 	 	 	399.1729	61.67653	 	 	 	 	 	 	 
299	 	 	 	399.18677	61.742466	 	 	 	 	 	 	 
300	 	 	 	399.18405	61.633816	 	 	 	 	 	 	 
301	 	 	 	398.94025	61.10691	 	 	 	 	 	 	 
302	 	 	 	398.33542	60.786377	 	 	 	 	 	 	 
303	 	 	 	397.6098	60.621185	 	 	 	 	 	 	 
304	 	 	 	397.06763	59.14987	 	 	 	 	 	 	 
305	 	 	 	395.96103	56.651367	 	 	 	 	 	 	 
306	 	 	 	394.5544	52.261642	 	 	 	 	 	 	 
307	 	 	 	394.06772	48.9821	 	 	 	 	 	 	 
308	 	 	 	393.10623	48.086445	 	 	 	 	 	 	 
309	 	 	 	392.80676	48.190586	 	 	 	 	 	 	 
310	 	 	 	393.20834	48.97515	 	 	 	 	 	 	 
311	 	 	 	393.9272	50.81922	 	 	 	 	 	 	 
312	 	 	 	394.86295	52.587257	 	 	 	 	 	 	 
313	 	 	 	396.00772	52.233677	 	 	 	 	 	 	 
314	 	 	 	396.81442	52.092403	 	 	 	 	 	 	 
315	 	 	 	397.42368	52.48505	 	 	 	 	 	 	 
316	 	 	 	398.38092	52.52507	 	 	 	 	 	 	 
317	 	 	 	399.7799	51.745064	 	 	 	 	 	 	 
318	 	 	 	400.7492	51.139626	 	 	 	 	 	 	 
319	 	 	 	401.51767	52.013523	 	 	 	 	 	 	 
320	 	 	 	401.93646	50.35988	 	 	 	 	 	 	 
321	 	 	 	402.24713	50.081093	 	 	 	 	 	 	 
322	 	 	 	402.4508	49.823597	 	 	 	 	 	 	 
323	 	 	 	402.5828	49.958412	 	 	 	 	 	 	 
324	 	 	 	402.8155	50.239986	 	 	 	 	 	 	 
325	 	 	 	402.96405	50.213467	 	 	 	 	 	 	 
326	 	 	 	403.4658	50.460415	 	 	 	 	 	 	 
327	 	 	 	404.22348	50.915146	 	 	 	 	 	 	 
328	 	 	 	405.27075	51.589603	 	 	 	 	 	 	 
329	 	 	 	406.1598	52.036633	 	 	 	 	 	 	 
330	 	 	 	406.89673	51.69378	 	 	 	 	 	 	 
331	 	 	 	406.7839	52.69821	 	 	 	 	 	 	 
332	 	 	 	406.68707	52.54026	 	 	 	 	 	 	 
333	 	 	 	405.81696	53.46987	 	 	 	 	 	 	 
334	 	 	 	405.6703	53.08289	 	 	 	 	 	 	 
335	 	 	 	405.79877	52.99754	 	 	 	 	 	 	 
336	 	 	 	406.01166	52.719223	 	 	 	 	 	 	 
337	 	 	 	405.94702	52.921032	 	 	 	 	 	 	 
338	 	 	 	405.51596	53.62264	 	 	 	 	 	 	 
339	 	 	 	405.14755	54.004032	 	 	 	 	 	 	 
340	 	 	 	404.68777	54.399487	 	 	 	 	 	 	 
341	 	 	 	404.4413	54.631477	 	 	 	 	 	 	 
342	 	 	 	404.45987	54.58835	 	 	 	 	 	 	 
343	 	 	 	404.46988	54.581917	 	 	 	 	 	 	 
344	 	 	 	404.2651	54.27693	 	 	 	 	 	 	 
345	 	 	 	404.18256	54.303406	 	 	 	 	 	 	 
346	 	 	 	404.14807	54.206802	 	 	 	 	 	 	 
347	 	 	 	404.28275	54.297127	 	 	 	 	 	 	 
348	 	 	 	404.3367	54.079346	 	 	 	 	 	 	 
349	 	 	 	404.37955	54.37369	 	 	 	 	 	 	 
350	 	 	 	404.3643	54.21649	 	 	 	 	 	 	 
351	 	 	 	404.38547	53.90983	 	 	 	 	 	 	 
352	 	 	 	404.59787	53.511925	 	 	 	 	 	 	 
353	 	 	 	404.8218	53.3332	 	 	 	 	 	 	 
354	 	 	 	404.69846	53.45966	 	 	 	 	 	 	 
355	 	 	 	404.6822	53.477634	 	 	 	 	 	 	 
356	 	 	 	404.62222	53.36807	 	 	 	 	 	 	 
357	 	 	 	404.45297	53.17207	 	 	 	 	 	 	 
358	 	 	 	404.43756	52.50955	 	 	 	 	 	 	 
359	 	 	 	403.1295	53.299835	 	 	 	 	 	 	 
360	 	 	 	402.4168	54.590755	 	 	 	 	 	 	 
